[2026-07-29 18:03:06] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 13.95, failures: 0
[2026-07-29 18:03:16] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 16.05, failures: 0
[2026-07-29 18:03:26] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.75, failures: 0
[2026-07-29 18:03:37] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.9, failures: 0
[2026-07-29 18:03:47] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 13.97, failures: 0
[2026-07-29 18:03:57] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 16.14, failures: 0
[2026-07-29 18:04:07] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.84, failures: 0
[2026-07-29 18:04:17] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 13.64, failures: 0
[2026-07-29 18:04:27] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.88, failures: 0
[2026-07-29 18:04:37] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.31, failures: 0
[2026-07-29 18:04:47] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 16.44, failures: 0
[2026-07-29 18:04:57] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 16.24, failures: 0
[2026-07-29 18:05:07] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.57, failures: 0
[2026-07-29 18:05:17] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.13, failures: 0
[2026-07-29 18:05:27] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 14.42, failures: 0
[2026-07-29 18:05:37] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 16.08, failures: 0
[2026-07-29 18:05:47] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.97, failures: 0
[2026-07-29 18:05:57] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.42, failures: 0
[2026-07-30 06:34:31] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 16.03, failures: 0
[2026-07-30 06:34:41] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 14.03, failures: 0
[2026-07-30 06:34:51] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 14.71, failures: 0
[2026-07-30 06:35:02] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 16.32, failures: 0
[2026-07-30 06:35:12] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.65, failures: 0
[2026-07-30 06:35:21] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.41, failures: 0
[2026-07-30 06:35:31] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.71, failures: 0
[2026-07-30 06:35:41] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 14.04, failures: 0
[2026-07-30 06:35:51] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.75, failures: 0
[2026-07-30 06:36:01] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.91, failures: 0
[2026-07-30 06:36:11] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.92, failures: 0
[2026-07-30 06:36:22] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.58, failures: 0
[2026-07-30 06:36:32] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 14.37, failures: 0
[2026-07-30 06:36:42] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.33, failures: 0
[2026-07-30 06:36:52] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.25, failures: 0
[2026-07-30 06:37:02] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.87, failures: 0
[2026-07-30 06:37:12] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.07, failures: 0
[2026-07-30 06:37:22] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.35, failures: 0
[2026-07-30 06:37:32] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.33, failures: 0
[2026-07-30 06:37:42] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.94, failures: 0
[2026-07-30 06:37:52] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.35, failures: 0
[2026-07-30 06:38:02] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 16.48, failures: 0
[2026-07-30 06:38:12] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.35, failures: 0
[2026-07-30 06:38:22] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.29, failures: 0
[2026-07-30 06:38:32] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 13.77, failures: 0
[2026-07-30 06:38:42] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.19, failures: 0
[2026-07-30 06:38:52] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.67, failures: 0
[2026-07-30 06:39:02] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.49, failures: 0
[2026-07-30 06:39:12] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.95, failures: 0
[2026-07-30 06:39:22] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.14, failures: 0
[2026-07-30 06:39:32] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 13.75, failures: 0
[2026-07-30 06:39:42] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.85, failures: 0
[2026-07-30 06:39:52] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.02, failures: 0
[2026-07-30 06:40:02] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.95, failures: 0
[2026-07-30 06:40:12] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.9, failures: 0
[2026-07-30 06:40:22] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.19, failures: 0
[2026-07-30 06:40:32] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 16.09, failures: 0
[2026-07-30 06:40:42] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 16.31, failures: 0
[2026-07-30 06:40:52] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 16.4, failures: 0
[2026-07-30 06:41:02] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 14.97, failures: 0
[2026-07-30 06:41:12] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 16.33, failures: 0
[2026-07-30 06:41:22] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 13.91, failures: 0
[2026-07-30 06:41:32] [INFO] [APP_SIMULATOR] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 14.04, failures: 0
